x_valueCar,y_valueCar,x_valueObject,y_valueObject
111.28,35.61,111.28,43.019999999999996
111.43,37.2,111.43,42.04
111.55,36.79,111.55,42.019999999999996
111.43,36.879999999999995,111.43,42.47
111.28,36.36,111.28,42.9
111.25,36.79,111.25,42.59
111.13,36.379999999999995,111.13,42.91
111.55,36.36,111.55,42.47
111.43,36.89,111.43,42.129999999999995
111.13,36.379999999999995,111.13,42.489999999999995
111.25,36.379999999999995,111.25,42.16
111.28,35.95,111.28,43.05
111.28,35.54,111.28,43.57
111.28,36.05,111.28,43.58
111.55,36.379999999999995,111.55,42.129999999999995
111.16,36.05,111.16,43.33
111.26,35.95,111.26,43.33
111.28,35.19,111.28,43.0
111.18,35.07,111.18,43.33
111.28,35.09,111.28,43.33
111.18,35.19,111.18,42.9
111.28,36.36,111.28,42.9
111.28,35.5,111.28,43.0
111.16,35.95,111.16,43.31
111.28,35.5,111.28,43.33
111.18,36.46,111.18,43.33
111.18,36.379999999999995,111.18,42.9
111.3,36.89,111.3,42.730000000000004
111.18,36.879999999999995,111.18,42.620000000000005
111.3,35.57,111.3,42.61
111.25,36.41,111.25,43.05
111.25,35.55,111.25,43.15
111.28,35.55,111.28,43.34
111.43,36.94,111.43,42.47
111.13,36.019999999999996,111.13,42.489999999999995
111.28,36.0,111.28,43.41
111.18,36.0,111.18,43.31
111.53999999999999,36.43,111.53999999999999,42.9
111.53999999999999,36.53,111.53999999999999,138.7
111.19,36.43,111.19,43.739999999999995
111.28,36.0,111.28,140.41
111.18,36.120000000000005,111.18,123.3
111.28,36.019999999999996,111.28,43.46
111.18,36.019999999999996,111.18,43.33
111.28,35.55,111.28,43.0
111.45,36.120000000000005,111.45,45.04
111.55,36.41,111.55,43.34
111.55,36.94,111.55,42.59
111.45,35.14,111.45,42.489999999999995
111.55,36.41,111.55,42.59
111.43,35.66,111.43,42.06
111.55,35.14,111.55,42.06
111.25,35.67,111.25,42.59
111.43,35.14,111.43,42.489999999999995
111.55,35.14,111.55,42.489999999999995
111.14,35.67,111.14,42.489999999999995
111.25,35.129999999999995,111.25,42.47
111.25,35.129999999999995,111.25,42.57
111.14,35.129999999999995,111.14,42.93
111.25,35.129999999999995,111.25,42.47
111.13,35.25,111.13,42.59
111.18,35.980000000000004,111.18,42.06
111.25,36.41,111.25,43.46
111.14,36.82,111.14,42.489999999999995
111.25,36.82,111.25,43.36
111.18,35.55,111.18,42.620000000000005
111.57,36.84,111.57,43.93
111.28,35.54,111.28,42.620000000000005
111.47,35.95,111.47,42.489999999999995
111.28,35.61,111.28,43.879999999999995
111.18,35.55,111.18,42.489999999999995
111.28,35.97,111.28,42.489999999999995
111.43,37.36,111.43,42.91
111.13,35.95,111.13,42.91
111.28,35.95,111.28,42.59
111.43,37.66,111.43,42.9
